MASV1,LA1003,MI1003,PE1003,CH1003,MT1003,PH1003,LA1005,PE1005,MT1005,MT1007,LA1007,MT1009,LA1009,MT2001,PE1007,SP1007,SP1003,SP1005,SP1009
60225604.0,7.0,,5.0,6.0,6.5,,5.5,5.0,7.0,6.5,5.5,,4.0,,5.0,5.0,6.5,,4.0
60226592.0,8.0,,13.0,13.0,13.0,13.0,0.0,,,,,,,,,,13.0,,
60232440.0,,,6.0,8.5,8.0,6.5,,6.0,8.0,8.5,,8.0,,6.0,7.0,7.0,,,
60237297.0,6.0,,8.0,8.5,7.0,7.5,5.0,5.0,8.5,9.0,5.5,,,,5.0,6.5,7.5,6.0,
60243963.0,,,VT,,,,,,,,,,,,,,,,
60249271.0,10.0,,5.0,8.5,8.0,8.0,10.0,6.0,9.0,10.0,10.0,8.5,,7.5,5.0,9.5,,,
60254463.0,9.5,DT,7,8.0,8.0,6.5,10.0,5.0,8.5,8.5,10.0,,10.0,6.0,7.0,7.5,8.0,8.0,7.5
60279267.0,10.0,DT,7,7.5,8.5,7.5,10.0,6.0,7.0,9.5,10.0,9.0,10.0,7.0,5.0,7.0,8.5,6.0,0.0
60284811.0,10.0,DT,5,6.5,8.0,7.5,10.0,6.0,6.5,8.0,RT,8.0,10.0,6.0,6.0,8.0,7.0,6.0,13.0
60285776.0,5.0,,7.0,4.0,6.0,4.0,3.0,8.0,7.0,6.0,13.0,,,,5.0,5.0,4.5,,
60292336.0,10.0,DT,6,7.5,7.0,6.0,10.0,5.0,6.0,9.0,10.0,8.0,10.0,5.0,6.0,,13.0,6.5,6.5
60295730.0,3.0,,6.0,6.0,5.5,2.5,,5.0,4.5,6.5,,2.0,,5.0,6.0,,7.0,7.5,6.5
60300396.0,6.5,,5.0,6.5,6.0,5.5,3.5,6.0,6.0,7.5,13.0,6.0,,6.0,5.0,,,2.0,
60302556.0,12.0,,6.0,6.5,6.0,2.0,12.0,5.0,,5.0,12.0,,6.5,,,,5.5,,
60304448.0,7.5,,13.0,8.0,7.5,7.5,7.0,7.0,7.0,8.5,7.5,8.5,6.0,7.5,5.0,6.5,8.5,7.0,
60310919.0,12.0,,8.0,5.0,2.0,5.0,12.0,5.0,,5.0,12.0,,12.0,,,,9.0,,
60311804.0,12.0,,5.0,5.0,0.0,5.0,12.0,7.0,1.5,0.0,12.0,,12.0,,,,,,
60316345.0,,,5.0,6.0,0.0,5.5,,6.0,2.0,4.0,,5.5,,,,,,,
60322292.0,6.5,,7.0,8.5,6.0,8.0,6.0,7.0,,7.0,4.0,,,,6.0,5.0,5.5,6.5,
60323712.0,10.0,DT,6,9.0,8.0,8.5,10.0,7.0,8.0,9.0,10.0,8.5,10.0,7.5,6.0,9.0,9.0,,8.0
60329643.0,12.0,,7.0,5.0,4.5,4.5,12.0,7.0,2.5,4.5,12.0,,12.0,,,,,,
60343693.0,,,8.0,5.0,5.5,2.0,,5.0,4.5,6.5,,,,,,,,,
60349113.0,7.0,,6.0,6.0,7.5,5.5,6.5,6.0,,7.0,5.0,8.5,3.5,13.0,5.0,4.0,7.5,,13.0
60368933.0,,,5.0,5.0,7.5,6.0,,5.0,,7,,,,,4.0,5.5,6.5,4.0,
60375084.0,10.0,DT,6.0,7.5,8.5,6.5,10.0,5.0,9.0,8.5,10.0,8.0,10.0,6.5,6.0,,8.0,5.0,6.5
60379830.0,,,5.0,,,6.0,,,,,,,,,,,,,
60390592.0,10.0,DT,6.0,7.5,9.0,8.0,10.0,5.0,8.5,9.5,10.0,2.5,8.5,5.5,5.0,6.5,8.5,,8.0
60401099.0,12.0,,6.0,5.5,5.5,5.5,12.0,6.0,7.5,6.0,12.0,,12.0,,,,,,
60403821.0,6.0,,7.0,6.0,5.0,6.0,6.0,6.0,6.5,6.5,,,,,,,,,
60410858.0,10.0,,13.0,6.0,13.0,13.0,9.0,13.0,2.5,13.0,10.0,,10.0,,13.0,6.5,13.0,13.0,
60411293.0,10.0,DT,5.0,,0.0,2.5,10.0,,,VT,,,,,,,,,
60416299.0,10.0,DT,6.0,6.5,6.5,8.0,10.0,6.0,6.5,7.5,10.0,6.0,10.0,,5.0,,5.5,6.5,6.5
60417901.0,7.0,,8.0,7.5,6.0,5.5,7.0,5.0,4.5,7.5,8.5,,,,5.0,6.0,6.5,7.5,5.0
60421700.0,7.5,,4.0,5.5,5.5,6.0,5.5,5.0,6.0,7.5,5.0,9.0,,6.0,6.0,,,,
60439934.0,,,8.0,7.0,5.5,5.5,,5.0,,6.5,,,,,,,,,
60444255.0,10.0,DT,7.0,8.0,10,8.0,10.0,7.0,10.0,9,10.0,,10.0,7.5,7.0,,8.0,12.0,8.5
60445813.0,7.0,,7.0,6.0,6.5,6.5,6.5,6.0,,9.0,6.5,10.0,6.5,8.5,5.0,8.0,8.5,,7.5
60456768.0,,,9.0,6.0,5.5,,,5.0,7.0,8.0,,,,,,,,,
60458719.0,8.5,,6.0,6.0,5.0,5.0,7.5,7.0,7.0,8.0,7.0,7.5,4.5,7.0,7.0,,7.5,7.5,7.0
60459921.0,0.0,,6.0,5.5,6.0,7.0,,5.0,2.0,7.0,,6.5,,6.0,6.0,,6.5,,
60468648.0,7.0,,7.0,5.5,5.0,6.0,7.0,6.0,5.5,0,13.0,6.5,5.5,3.5,6.0,6.0,7.0,7.5,6.0
